tephra_name,longitude,latitude,site,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,total,reference
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,70.47,0.2,13.86,3.1,0.09,0.14,1.96,4.34,2.54,0.06,96.76,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,64.87,0.46,14.85,5.92,0.2,0.51,3.35,4.3,1.84,0.13,96.43,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,69.45,0.18,13.86,2.85,0.16,0.14,2.01,4.77,2.39,0.04,95.85,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,69.76,0.18,13.49,2.97,0.14,0.13,1.94,4.5,2.54,0.02,95.65,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,68.84,0.19,13.8,2.87,0.11,0.1,1.89,4.84,2.38,0.02,95.05,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,65.6,0.35,14.39,4.83,0.2,0.3,3.05,4.84,2.08,0.07,95.7,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,70.06,0.21,13.76,3.08,0.11,0.13,1.91,4.97,2.64,0.02,96.89,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,70.63,0.19,13.93,2.95,0.12,0.13,1.91,4.45,2.56,0.04,96.9,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.34,0.36,14.42,6.39,0.17,0.59,3.36,4.18,1.88,,97.69,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.42,0.61,14.61,5.82,0.36,0.59,3.39,4.11,1.95,,97.86,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,65.86,0.35,14.43,5.66,0.16,0.57,3.26,4.49,2.12,,96.9,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.17,0.39,14.56,5.75,0.18,0.56,3.26,4.23,1.95,,97.05,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,65.94,0.44,14.78,5.92,0.13,0.64,3.31,4.07,1.97,,97.2,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.11,0.43,14.64,5.66,0.19,0.56,3.51,3.95,1.96,,97.01,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.03,0.33,14.72,5.39,0.15,0.61,3.11,4.27,1.89,,96.5,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,66.08,0.36,14.73,5.51,0.24,0.6,3.54,4.33,2.02,,97.41,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,12.339,59.383,Lake Furskogstjärnet,65.75,0.43,14.64,5.71,0.18,0.59,3.61,4.15,2.08,,97.14,"Zillen, L.M., Wastegard, S. and Snowball, I.F. (2002) Calendar year ages of three mid-Holocene tephra layers identified in varved lake sediments in west central Sweden. Quaternary Science Reviews  21 1583-1591."
Hekla 3 Tephra,-20.19,65.55,Orrastadir,73.38,0.14,14.07,3.13,0.1,0.16,2.01,4.26,2.68,,99.93,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,71.44,0.12,14.08,2.91,0.14,0.14,1.96,4.5,2.49,,97.78,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,67.71,0.37,14.58,5.4,0.18,0.41,3.51,4.07,2.29,,98.53,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,65.01,0.62,14.98,7.22,0.14,0.67,4.03,4.21,1.89,,98.78,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,63.09,0.89,15.22,8.36,0.19,1.05,4.65,3.93,1.76,,99.15,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,71.61,0.18,14.07,3.08,0.08,0.14,2.02,4.41,2.66,,98.25,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,68.03,0.54,14.83,5.68,0.16,0.43,3.65,4.63,1.71,,99.67,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,66.99,0.35,14.77,5.81,0.22,0.44,3.18,4.27,2.17,,98.2,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,66.82,0.51,14.94,6.58,0.19,0.6,3.73,3.89,1.91,,99.17,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,65.97,0.68,15.44,6.83,0.16,0.62,3.84,3.91,1.91,,99.35,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,71.55,0.2,13.93,4.61,0.1,0.23,2.21,3.89,2.62,,99.34,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,71.41,0.16,13.85,2.85,0.12,0.14,2.02,4.39,2.82,,97.76,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,63.93,0.65,15.16,6.64,0.17,0.73,4.1,4.08,1.88,,97.34,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,63.35,0.76,15.15,7.97,0.23,0.98,4.55,4.14,1.8,,98.93,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,69.77,0.15,13.96,3.09,0.06,0.08,1.86,3.92,2.66,,95.56,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,62.84,0.74,14.89,7.64,0.21,0.86,4.28,4.02,1.76,,97.25,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,63.6,0.67,15.09,7.94,0.27,0.93,4.26,4.15,1.79,,98.72,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,56.82,1.89,13.28,10.99,0.23,2.56,6.24,3.76,1.51,,97.28,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,73.25,0.15,14.21,3.08,0.07,0.11,2.1,4.14,2.7,,99.82,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,66.5,0.56,15.01,6.75,0.22,0.66,3.81,4.24,2.14,,99.9,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,64.38,0.5,14.71,6.23,0.18,0.63,3.48,4.2,1.87,,96.2,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,56.18,1.23,16.81,8.68,0.24,2.62,7.22,4.88,1.81,,99.67,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,72.95,0.2,14.08,3.23,0.12,0.2,2.08,4.39,2.61,,99.88,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,71.92,0.19,14.23,3.05,0.15,0.14,2.12,4.3,2.82,,98.92,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,70.92,0.18,13.79,3.03,0.09,0.16,2.01,4.23,2.38,,96.81,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,65.99,0.49,14.96,6.32,0.19,0.6,3.74,4.54,2.02,,98.87,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,64.38,0.47,14.86,6.57,0.25,0.63,3.63,4.28,2.07,,97.13,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,67.14,0.47,14.96,5.86,0.16,0.47,3.46,4.24,1.84,,98.63,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,66.22,0.42,14.67,6.11,0.17,0.55,3.81,4.02,1.91,,97.88,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,65.61,0.46,14.94,6.19,0.19,0.47,3.46,4.33,2.09,,97.74,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.19,65.55,Orrastadir,63.07,0.63,15.29,7.62,0.23,0.86,4.52,4.03,1.99,,98.24,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,61.09,0.8,14.77,7.8,0.2,0.98,4.24,3.95,1.71,,95.53,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,70.55,0.2,14.06,3.11,0.16,0.12,2.03,4.17,2.53,,96.92,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,61.91,0.7,14.92,7.51,0.23,0.81,4.02,4.3,1.83,,96.24,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,62.03,0.76,14.99,8.21,0.25,0.96,4.19,4.48,1.75,,97.62,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,64.14,0.62,14.65,6.6,0.2,0.64,3.67,4.47,1.79,,96.78,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,69.89,0.17,13.9,3.08,0.11,0.19,2.05,4.09,2.6,,96.08,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,61.1,0.85,14.96,8.58,0.19,1.11,4.47,4.29,1.68,,97.23,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,63.1,0.75,14.89,7.94,0.24,0.99,4.4,4.85,1.49,,98.65,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,61.78,0.68,14.43,8.08,0.23,0.92,4.23,4.24,1.69,,96.28,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.95,65.505,Slettadalur,63.82,0.6,14.72,6.25,0.25,0.6,3.52,4.19,1.8,,95.77,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,65.38,0.66,14.66,6.85,0.18,0.58,3.34,3.81,1.88,,97.35,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,66.76,0.58,14.95,6.25,0.12,0.58,3.6,4.08,2,,98.91,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,67.08,0.45,14.69,5.65,0.16,0.42,3.35,4.22,2.09,,98.11,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,63.74,0.63,14.95,7.02,0.2,0.77,3.99,3.84,1.7,,96.84,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,66.9,0.38,14.27,4.82,0.17,0.35,2.84,3.8,2,,95.55,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,63.79,0.76,14.81,7.07,0.2,0.74,4.07,3.75,1.72,,96.91,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,64.59,0.66,14.66,7.74,0.25,0.7,3.96,3.77,1.82,,98.16,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,68.11,0.34,14.56,5.31,0.17,0.33,3.09,4.09,2.2,,98.2,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,72.35,0.19,13.88,2.96,0.07,0.13,2.12,4.22,2.35,,98.28,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,72.39,0.23,13.62,3.09,0.13,0.13,2.14,4.26,2.65,,98.66,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,64.28,0.55,14.4,6.4,0.21,0.58,3.79,3.89,1.77,,95.87,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,62.05,0.76,14.36,7.78,0.21,0.81,4.47,3.49,1.69,,95.62,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,63.58,0.81,15.06,7.53,0.2,0.83,4.26,4.27,1.39,,97.94,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,65.22,0.67,14.91,7.61,0.24,0.72,4.02,4.23,1.75,,99.37,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.056,65.532,Solheimahals,68.63,0.44,14.7,5.14,0.17,0.34,3.14,4.28,2.07,,98.91,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-19.956,65.511,Tungunesmuli,68.02,0.41,14.69,5.32,0.2,0.43,3.37,4.49,2,,98.93,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
